Pred Lang,Assembly,Bash/Shell,C,C#,C++,CSS,Clojure,Cobol,CoffeeScript,Delphi/Object Pascal,Erlang,F#,Go,Groovy,HTML,Hack,Haskell,Java,JavaScript,Julia,Kotlin,Lua,Matlab,NA,Objective-C,Ocaml,PHP,Perl,Python,R,Ruby,Rust,SQL,Scala,Swift,TypeScript,VB.NET,VBA,Visual Basic 6
Assembly,0.583730081371064,0.513805642129605,0.743983098858094,0.414134626509708,0.736558796998536,0.445444138155456,0.151007795069347,0.0485540439861924,0.198387200844233,0.121232968995133,0.198431923559503,0.180873972054723,0.26453275260888,0.0363110993361199,0.43410175877062,0.157119353783363,0.0841129228617482,0.361917507128477,0.527997293777607,0.081628142587315,0.0330599228727985,0.216014180737084,0.281399061488483,-1.12893732631897E-17,0.209164559735119,0.0654536092155173,0.270545314969297,0.175328909167463,0.537101249791595,0.120705799917285,0.118220289865533,0.220269130610266,0.423412335307769,0.00927839598302645,0.221999055585928,0.124170610405117,0.184309897469861,0.135535872965221,0.130074279243494
Bash/Shell,0.107733441091691,0.998809702901973,0.229747830965139,0.220230881809532,0.268398654081992,0.604378834586616,0.0572863199098092,0.00532279974356204,0.0311296177767543,0.026120441514599,0.0445243164808045,0.0478366411774886,0.366283223073095,0.0601350259697798,0.600499576226523,0.038154504235262,0.119176528024503,0.333294372352548,0.655598289975964,0.0328150022500451,0.17238491571076,0.0730360589558154,0.0791072172201221,-2.12205150918585E-17,0.0518233530571586,0.0213590697456049,0.203964942378479,0.0476766828291818,0.569940167677956,0.0963903104209889,0.156486959698826,0.145013911920114,0.559722092961527,0.13611406858081,0.10776424472598,0.242222518790865,0.0248060051344618,0.0257728126048545,0.00962612192950609
C,0.281702338402579,0.414884432616658,0.983979603690462,0.293595278894639,0.712084638247364,0.433389021740318,0.0400868265217565,0.00812396163083649,0.0204697930416403,0.0361824198614882,0.0642936413415625,0.0408209352301404,0.280165031693317,0.0174046829078097,0.422938961733539,0.0675576997274,0.155592708912688,0.40720853788881,0.46408943620047,0.0388845884887153,0.179616611545901,0.128442124868999,0.0954237861294006,-1.38993261953471E-17,0.153224022340658,0.00359542844158873,0.262357820128577,0.074188124493477,0.633474731752643,0.147635347549739,0.0955125273522201,0.182699679575144,0.398156258269748,0.0780449844516467,0.185582823089479,0.129491413411839,0.0456992974987516,0.0164242232505448,0.0389828487937393
C#,0.0791727962445029,0.200798745179279,0.14823683199092,0.997836476203139,0.234786924483376,0.578361921384991,0.0230799669402422,0.00467563551865572,0.034906599878851,0.0187440084081498,0.0367284259505964,0.146059574524638,0.187326114634546,0.0283720692689279,0.607490450803473,0.0241314239326298,0.047488125351222,0.313805838691015,0.656875601704225,0.00888356415873026,0.112458473192698,0.0379915982277739,0.0367162660002113,-8.35464483801532E-18,0.0537041018797244,0.0101123077259275,0.197751196870024,0.0227411624648842,0.34304048701368,0.0731504461855751,0.0856367898068418,0.117423761937215,0.574078604608132,0.0768195771602253,0.142346683687211,0.352405066293487,0.0654322662719167,0.0394690465566908,0.019493487528736
C++,0.192790557603643,0.335047984290271,0.492246427781735,0.321453238889991,0.997240438848726,0.379119656064265,0.0215311517022488,0.00672241346428191,0.0459145808144897,0.0325673710473103,0.0420340074366774,0.065567526836304,0.270308323073939,0.00828471688892393,0.43351677417078,0.0473879978292625,0.0720253721959884,0.369532979618425,0.449587267176054,0.0330358507899091,0.148390559668982,0.0784420235222561,0.108029910765006,-1.61691267411324E-17,0.0465130962750904,0.0207339871435142,0.200639612173569,0.061298703726382,0.569731821202906,0.133622123994345,0.0888057455620649,0.134264332907267,0.409725881373526,0.069730129407835,0.150711065474814,0.120062615704784,0.0463811223400324,0.0182978198907658,0.025804212669507
CSS,0.0579077379602093,0.374714877443702,0.148796897464176,0.393286106541794,0.188296095845252,0.97793819487342,0.0338778050742387,0.0047475910437095,0.0475144120949813,0.0169055727290098,0.0296619703719749,0.0518007744848868,0.207257657212159,0.0354278814935633,0.998471433146552,0.0202113065890159,0.0381405105409542,0.353000830216593,0.882648530884773,0.0199102600846682,0.130264950753502,0.0459797770982691,0.0323224449603123,1.19823835866309E-17,0.0445538963149818,0.0163589410023356,0.328817390670162,0.0369955309674214,0.413128193145863,0.0791484428520294,0.0968125963079721,0.0898569767923923,0.57902672377995,0.0657976929311529,0.136194188642672,0.343018945152707,0.0467043119023655,0.0278952643475628,0.0200793002424798
Clojure,0.256056695987153,0.463271978401065,0.179519266597432,0.204709271991713,0.139484417549351,0.441884414011809,0.312958346617982,0.046797009578833,0.217022887282575,0.0910974670598253,0.309602078262622,0.267192625966243,0.610124887846493,0.138315830672067,0.45777005678803,0.120743273858969,0.45681223288242,0.297136669223764,0.516376625661126,0.0705085015277708,0.449338189246826,0.172873786261143,0.20276749685662,1.09412575006827E-16,0.124063951714007,0.0780780942342024,0.156748862296417,0.152359928769462,0.481313912463328,0.147600735173384,0.202992813594661,0.244824618020239,0.242694745426286,0.527797568367433,0.200339466545119,0.203935116143379,0.130389274678027,0.104680708370264,0.0978873756469176
Cobol,0.94680385773075,0.495020376151271,0.418384023988086,0.47691482290288,0.500819803089001,0.712138656556431,0.538165610156582,0.162113174895356,0.631818774258631,0.304337468986598,0.65029935203557,0.580687644633506,0.48031421769319,0.229348392462967,0.781117910406437,0.346257658229131,0.485827523533768,0.51085165581479,1.01131264815182,0.233127873148211,0.556298141942134,0.457116676770832,0.727450304263,1.94783115816411E-16,0.392616621963789,0.192116167876215,0.512863364489305,0.497784592311085,0.991118421662235,1.08522008227929,0.565288364265256,0.513360001731442,1.02844059700341,0.55331480929538,0.512377129455341,0.486676592130752,0.429141801514889,0.371454410917762,0.319913639030017
CoffeeScript,0.286559290108337,0.214448478017641,0.0780884697514425,0.263738754640207,0.253380464494777,0.527937912166458,0.184871348425898,0.0468013906858246,0.29605274422547,0.115145042740203,0.196848732429167,0.0799172868395978,0.394080328956139,0.106977562026102,0.55186254049607,0.126955203725937,0.0616093527564838,0.445827391574144,0.615908296151101,0.055419698141797,0.180442732788575,0.116478231339806,0.242022944049438,3.23232321058101E-17,0.119979151824236,0.0468658525194626,0.439633861472521,0.17996673713366,0.655905298231841,0.172890911724746,0.344093557017554,0.0889207299865123,0.574516666303705,0.361695839111187,0.188603777814399,0.434629973123827,0.163815294347007,0.128119295968136,0.111041217938381
Delphi/Object Pascal,0.472808579081017,0.485840212171541,0.372678924573327,0.382377771526258,0.485253828604924,0.507167181870294,0.209524174237598,0.0608674937973199,0.31089161539855,0.171232903540913,0.270204338814495,0.149051338348834,0.514766072086453,0.0854938980739174,0.496331304367369,0.173100612537374,0.132553837783779,0.18320982757292,0.376552285027337,0.0914778946679167,0.211798005904466,0.177978615197747,0.319361188598658,1.85890392325205E-17,0.208399400281172,0.076821728203014,0.532999006545629,0.240984520751347,0.487090119188622,0.214558364815428,0.36299167452617,0.305211300992722,0.840591122354324,0.256599667975562,0.327324402588148,0.402665134186611,0.210611895381853,0.16238689844173,0.143680771345302
