Pred Lang,Assembly,Bash/Shell,C,C#,C++,CSS,Clojure,Cobol,CoffeeScript,Delphi/Object Pascal,Erlang,F#,Go,Groovy,HTML,Hack,Haskell,Java,JavaScript,Julia,Kotlin,Lua,Matlab,NA,Objective-C,Ocaml,PHP,Perl,Python,R,Ruby,Rust,SQL,Scala,Swift,TypeScript,VB.NET,VBA,Visual Basic 6
Assembly,0.958757170444904,0.508055648161228,0.870862095878637,0.342113546860604,0.737580293596802,0.646210878702396,0.00161514223844263,0.00152813950658182,0.0630262882182628,0.0701392582180493,0.0462593446992792,-0.00302186115564912,0.112968976129994,-0.0634054135010193,0.659495628266931,0.0137550234631285,0.0870286621052075,0.583365883673697,0.643134359449051,-0.0010692965443381,0.0131176191535533,0.13567117067994,0.242852608000574,6.98962318020819E-18,0.0637824315888904,0.00290237213110555,0.220268116144157,0.00198593465640945,0.622132876142253,0.0118307422142641,0.0653284238647658,0.165527280090779,0.49304490110637,0.00808450309796303,0.065653792221448,0.0313349511697678,0.0342590859613907,0.0369260928158567,0.0410070377421628
Bash/Shell,0.105919728768595,0.999590679724862,0.332515815974928,0.279457059879836,0.296443098670369,0.739083613404601,0.0143541189856388,0.00359920230473662,0.0570378764427742,0.032397142039307,0.0208614109650864,0.0102886307998789,0.169954005052223,0.0788703439317649,0.759032753188546,0.0107228471279534,0.0389638884347804,0.501831562480699,0.777561280378003,0.0180716232090021,0.0553242822565975,0.0851523308035189,0.0657342213931461,1.39969030801722E-18,0.0590673219628833,0.00698920830254117,0.328504122275989,0.0716381735451532,0.586449492806136,0.0706814717884114,0.180290751754819,0.0436564998964905,0.65002407273171,0.0637379234495377,0.089311457750933,0.187309307937853,0.0802174443092322,0.0775238170653516,0.0379160006583278
C,0.283872174899666,0.51990041945251,0.998189566446163,0.369461657913369,0.719863390091721,0.584666918511531,-0.000459965721626089,0.0163437166531812,0.0288425166540154,0.0337337912940282,0.0105022535300726,0.00500169697790136,0.103931449686962,0.01952099759296,0.625356723852596,0.0114483535114672,0.0402193375282881,0.585735472542253,0.64078284782778,0.0170803904206459,0.0608908398368285,0.099528132214054,0.0834779199090243,-3.41410809600647E-18,0.113096991571827,0.00575223956092274,0.287392032636304,0.0563019689830175,0.597264288481929,0.0549379731504907,0.105346353617088,0.0762754258771876,0.519487119601384,0.0264406203545179,0.103356109560806,0.0941891758675708,0.124714550464486,0.071872425757942,0.0626000588024597
C#,0.0800980129554588,0.313834714071403,0.265367301913967,0.99916928004146,0.325961066974722,0.754404695604177,0.0035220609581367,0.00767301257221733,0.0167944329953746,0.0213076630045907,0.0111532188317087,0.0288601179292787,0.0557698247848637,0.0316845121355167,0.781302286831554,0.00393516341916194,0.0186508363940539,0.404560447634734,0.801663481460794,-0.000451362935881604,0.0321393738871406,0.0515433129856384,0.0303944047207041,3.50911229873233E-19,0.0673717021718415,1.87150731660102E-05,0.246235048958055,0.0204692089755265,0.345325896945245,0.0165395893867544,0.0638608229073468,0.0236508899144297,0.671084152440073,0.0358198532061635,0.0365070440371651,0.270032717089132,0.192876458146086,0.0609110760272992,0.0944869026286243
C++,0.220899681838636,0.425854806719362,0.661397327952292,0.416965425774772,0.998158423584013,0.59818986484529,0.000212481896315912,0.0157979520831363,0.0346154426501866,0.0567931609617942,0.00997508516501902,0.0154584963698615,0.087276243603486,0.0309775003133795,0.635361697686093,0.0153253018326929,0.0357733841293154,0.568907128092546,0.624671359338806,0.0155600438985876,0.0552968258698487,0.0809923661398023,0.11565773613623,2.28385793749936E-18,0.0868110748420293,0.00496779043423281,0.278572645906871,0.0467470589519266,0.578135023800071,0.0549357283028881,0.0800660636360587,0.053428614284389,0.522566884833898,0.0409420944518738,0.081056625850651,0.0758858571823102,0.0909047144292374,0.0743274624853515,0.0753618972865192
CSS,0.0778090649866149,0.426858495088779,0.215968800511403,0.387979557739291,0.240496741580657,0.982172897313867,0.00803341971588258,0.00585038851211422,0.0357430925395055,0.0273102605234273,0.0150194025215395,0.012954784359042,0.0768476940427024,0.048697698536369,1.00495733411087,0.00812410504980619,0.0194953045933409,0.460974181523718,0.926957482839563,0.00972765813057126,0.0405764530806719,0.0590006715842148,0.0391208061582025,6.19746380656864E-20,0.0508570110330727,0.00409538030506554,0.42077591298248,0.0460375953338679,0.366977380100319,0.0368152183272965,0.109849951933279,0.0293825056064412,0.675309421118602,0.036798477203277,0.0872089106000252,0.246804471677259,0.0978148416021268,0.0493795944944626,0.054670869304228
Clojure,0.0158822320113543,0.677035945489298,-0.013875632602387,0.147926560241743,0.00697648892903826,0.656062610130409,0.212486396455239,-0.009682993690391,0.0701380060445869,-0.068446019169001,0.230054644060816,0.0894883230316644,0.897133802534217,0.291728168061484,0.668739927918095,0.0360245565313106,0.319111321172759,0.673761670554243,1.0108705019331,0.0334225744306503,-0.104858105222844,-0.029641509971274,-0.0654242376325262,-7.34574096601716E-17,0.0867187375102477,0.0249783437900673,0.00643024945566061,0.0286103485906413,0.154625182387364,0.0172202122743997,0.113450184578242,0.202419740714724,0.504879908193269,0.754467154957313,0.128452425732071,0.171921616169505,0.030454053389914,-0.0199419736636086,0.0158017732897632
Cobol,0.0300534102961131,0.339524750746812,0.986070904741929,0.644533056066254,1.03739885345928,0.955563456978659,-0.0193659873807828,0.0713409380892613,0.161178819295801,0.103002672392869,0.00515129017416428,0.00078686023872963,-0.0238051957122204,0.0495867271667675,1.04862050777024,0.0159821127643196,0.00689947686394938,0.98619541914019,1.00073385086422,0.0107015511236556,0.0737740654070683,-0.0406696374656603,-0.0125551020804316,-1.1043707484007E-17,0.0695556514989552,-0.00132040029921685,0.681796154647059,0.0031404300862834,0.32566700817115,-0.00928676962140893,0.732276942147839,0.0186935997538851,0.331298264458345,-0.0095758930211142,-0.0791285304181959,0.00597156172445383,0.45019004403763,0.277996227845114,0.311130141630942
CoffeeScript,0.16902504567625,0.73371450151387,0.237295250653491,0.192372596128837,0.309965554640307,0.796096152016258,0.019128547103069,0.021978929903973,0.26046562570969,0.088752526252271,0.0589757640915111,0.0142862723791994,0.24321314484196,0.0813308730125059,0.854361102148696,0.0144657694142127,0.080454589001571,0.237737348987593,1.0212560178321,0.0122343755312668,0.00337036129528645,0.108082166961906,0.042519124349102,-1.65762520241529E-17,0.0931368406044315,0.00086977134682903,0.521993099322116,0.151488611189712,0.387282010158476,0.164192297165608,0.712714763669355,0.0985229262050939,0.790072252109939,0.0828734443395209,-0.0259773495858631,0.36518541546929,0.20247505293152,0.132923849006522,0.140195801538444
Delphi/Object Pascal,0.206910811743245,0.458419559856194,0.305290811210955,0.268476553857844,0.559412635473673,0.66910138282397,-0.0205338057507005,0.0154504008589303,0.0976277788774983,0.14313250421218,0.0105006125531641,-0.00194405954717604,-0.0277098586689328,0.0370331944653844,0.687935415575741,0.00471528535634071,0.00048104176112737,0.323841836207272,0.531339364527078,0.00776979078174084,0.13871623187419,0.209210831608052,0.0833337172648347,1.15026724965732E-17,0.00746231128005397,0.00271996418191428,0.476980016733653,0.042541970832291,0.344458201913361,-0.0177098454859445,0.151877867785353,0.0424260337726399,0.614925002728082,-0.0219352816136948,-0.0460604748713545,0.121038733414212,0.335013553149132,0.238260405014056,0.203526821951043
